N = 100, T = 0.010000/kb, dim = 2, max displacement = 0.200000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
877 0.010000 -87.022855
878 0.010000 -87.361630
879 0.010000 -87.391224
880 0.010000 -87.358295
881 0.010000 -87.369651
882 0.010000 -87.388074
883 0.010000 -87.398009
884 0.010000 -87.403150
885 0.010000 -87.384644
886 0.010000 -87.448769
887 0.010000 -87.466286
888 0.010000 -87.477243
889 0.010000 -87.507278
890 0.010000 -87.529503
891 0.010000 -87.652401
892 0.010000 -87.651976
893 0.010000 -87.667771
894 0.010000 -87.627050
895 0.010000 -87.618430
896 0.010000 -87.610869
897 0.010000 -87.618194
898 0.010000 -87.659398
899 0.010000 -87.687474
900 0.010000 -87.715531
901 0.010000 -87.696476
902 0.010000 -87.802618
903 0.010000 -87.870442
904 0.010000 -87.937057
905 0.010000 -87.997936
906 0.010000 -88.007445
907 0.010000 -87.983546
908 0.010000 -87.978195
909 0.010000 -87.982671
910 0.010000 -87.953884
911 0.010000 -88.016981
912 0.010000 -88.000750
913 0.010000 -88.020685
914 0.010000 -88.224730
915 0.010000 -88.199939
916 0.010000 -88.356428
917 0.010000 -88.599622
918 0.010000 -88.619116
919 0.010000 -88.648260
920 0.010000 -88.768928
921 0.010000 -89.077630
922 0.010000 -89.060615
923 0.010000 -89.175993
924 0.010000 -89.183742
925 0.010000 -89.432662
926 0.010000 -89.636789
927 0.010000 -89.681283
928 0.010000 -89.724525
929 0.010000 -89.697972
930 0.010000 -89.708015
931 0.010000 -89.714560
932 0.010000 -89.705128
933 0.010000 -89.672295
934 0.010000 -89.679297
935 0.010000 -89.670446
936 0.010000 -89.690825
937 0.010000 -89.704283
938 0.010000 -89.683192
939 0.010000 -89.667269
940 0.010000 -89.680078
941 0.010000 -89.748016
942 0.010000 -89.815695
943 0.010000 -89.808509
944 0.010000 -89.765300
945 0.010000 -89.751176
946 0.010000 -89.819967
947 0.010000 -89.889307
948 0.010000 -89.930828
949 0.010000 -89.969957
950 0.010000 -89.965134
951 0.010000 -90.012310
952 0.010000 -89.976461
953 0.010000 -89.928572
954 0.010000 -89.923151
955 0.010000 -90.068446
956 0.010000 -90.040199
957 0.010000 -90.034812
958 0.010000 -90.089355
959 0.010000 -90.171973
960 0.010000 -90.476942
961 0.010000 -90.738131
962 0.010000 -90.740158
963 0.010000 -90.751997
964 0.010000 -90.747476
965 0.010000 -90.783888
966 0.010000 -90.794361
967 0.010000 -90.853663
968 0.010000 -90.872479
969 0.010000 -90.936248
970 0.010000 -91.582071
971 0.010000 -91.599938
972 0.010000 -91.590022
973 0.010000 -91.863999
974 0.010000 -91.843784
975 0.010000 -92.398741
976 0.010000 -92.432886
977 0.010000 -92.465521
978 0.010000 -92.754487
979 0.010000 -92.735156
980 0.010000 -92.708362
981 0.010000 -92.723602
982 0.010000 -92.706212
983 0.010000 -92.713252
984 0.010000 -92.721419
985 0.010000 -92.721319
986 0.010000 -92.715894
987 0.010000 -92.736256
988 0.010000 -92.744646
989 0.010000 -92.771003
990 0.010000 -92.751837
991 0.010000 -92.768015
992 0.010000 -92.777349
993 0.010000 -92.765385
994 0.010000 -92.775384
995 0.010000 -92.772906
996 0.010000 -92.795389
997 0.010000 -92.790873
998 0.010000 -92.823133
999 0.010000 -92.817260
1000 0.010000 -92.843292
1001 0.010000 -92.740909
1002 0.010000 -92.772460
1003 0.010000 -92.781925
1004 0.010000 -92.737344
1005 0.010000 -92.710433
1006 0.010000 -92.729679
1007 0.010000 -92.721798
1008 0.010000 -92.702809
1009 0.010000 -92.724036
1010 0.010000 -92.812562
1011 0.010000 -92.812130
1012 0.010000 -92.815084
1013 0.010000 -92.819690
1014 0.010000 -92.854686
1015 0.010000 -92.840130
1016 0.010000 -92.852123
1017 0.010000 -92.872150
1018 0.010000 -92.923460
1019 0.010000 -92.927999
1020 0.010000 -92.948990
1021 0.010000 -92.909903
1022 0.010000 -92.918594
1023 0.010000 -92.912826
1024 0.010000 -92.971034
1025 0.010000 -92.989804
1026 0.010000 -93.051979
1027 0.010000 -93.083618
1028 0.010000 -93.072017
1029 0.010000 -93.061109
1030 0.010000 -93.087120
1031 0.010000 -93.170950
1032 0.010000 -93.195179
1033 0.010000 -93.231701
1034 0.010000 -93.258222
1035 0.010000 -93.339465
